valor,conteo
0,10995
1,0
2,6819
3,0
4,12336
5,0
6,11541
7,0
8,10565
9,0
10,9215
11,0
12,8419
13,0
14,7188
15,0
16,6484
17,0
18,5778
19,0
20,5226
21,0
22,4743
23,0
24,4423
25,0
26,3976
27,0
28,3714
29,0
30,3567
31,0
32,3305
33,0
34,3116
35,0
36,2956
37,0
38,2809
39,0
40,2764
41,0
42,2585
43,0
44,2459
45,0
46,2382
47,0
48,2282
49,0
50,2147
51,0
52,2097
53,0
54,2029
55,0
56,1950
57,0
58,1922
59,0
60,1809
61,0
62,1872
63,0
64,1633
65,0
66,1599
67,0
68,1581
69,0
70,1563
71,0
72,1534
73,0
74,1429
75,0
76,1375
77,0
78,1332
79,0
80,1305
81,0
82,1236
83,0
84,1291
85,0
86,1157
87,0
88,1159
89,0
90,1131
91,0
92,1093
93,0
94,1051
95,0
96,1033
97,0
98,972
99,0
100,1003
101,0
102,981
103,0
104,919
105,0
106,829
107,0
108,872
109,0
110,833
111,0
112,822
113,0
114,823
115,0
116,830
117,0
118,780
119,0
120,815
121,0
122,790
123,0
124,774
125,0
126,747
127,0
128,716
129,0
130,679
131,0
132,724
133,0
134,676
135,0
136,656
137,0
138,597
139,0
140,638
141,0
142,621
143,0
144,632
145,0
146,626
147,0
148,596
149,0
150,547
151,0
152,603
153,0
154,539
155,0
156,555
157,0
158,550
159,0
160,582
161,0
162,519
163,0
164,546
165,0
166,497
167,0
168,531
169,0
170,516
171,0
172,516
173,0
174,487
175,0
176,459
177,0
178,532
179,0
180,436
181,0
182,479
183,0
184,441
185,0
186,430
187,0
188,471
189,0
190,408
191,0
192,413
193,0
194,427
195,0
196,430
197,0
198,444
199,0
200,436
201,0
202,398
203,0
204,386
205,0
206,392
207,0
208,420
209,0
210,376
211,0
212,398
213,0
214,395
215,0
216,368
217,0
218,337
219,0
220,379
221,0
222,372
223,0
224,396
225,0
226,357
227,0
228,339
229,0
230,378
231,0
232,347
233,0
234,377
235,0
236,360
237,0
238,372
239,0
240,336
241,0
242,350
243,0
244,331
245,0
246,312
247,0
248,333
249,0
250,338
251,0
252,330
253,0
254,298
255,43649
