valor,conteo
0,10987
1,2
2,6786
3,4
4,12268
5,8
6,11470
7,3
8,10486
9,4
10,9148
11,5
12,8353
13,1
14,7129
15,6
16,6427
17,3
18,5709
19,2
20,5172
21,7
22,4701
23,4
24,4374
25,4
26,3943
27,6
28,3678
29,3
30,3538
31,3
32,3278
33,2
34,3074
35,2
36,2915
37,1
38,2782
39,1
40,2732
41,1
42,2567
43,0
44,2431
45,1
46,2361
47,2
48,2257
49,4
50,2114
51,1
52,2072
53,1
54,2011
55,1
56,1932
57,2
58,1902
59,1
60,1801
61,1
62,1855
63,1
64,1625
65,0
66,1583
67,2
68,1566
69,2
70,1560
71,3
72,1525
73,2
74,1415
75,2
76,1363
77,0
78,1319
79,1
80,1293
81,0
82,1226
83,1
84,1282
85,0
86,1156
87,0
88,1147
89,1
90,1118
91,0
92,1083
93,3
94,1040
95,2
96,1032
97,1
98,966
99,2
100,998
101,1
102,975
103,1
104,917
105,0
106,828
107,2
108,862
109,2
110,830
111,2
112,821
113,4
114,818
115,4
116,827
117,1
118,781
119,2
120,812
121,2
122,789
123,1
124,766
125,2
126,742
127,3
128,718
129,0
130,675
131,1
132,722
133,2
134,675
135,1
136,655
137,2
138,596
139,2
140,638
141,4
142,617
143,3
144,625
145,2
146,625
147,2
148,595
149,4
150,549
151,3
152,604
153,1
154,541
155,2
156,557
157,2
158,546
159,4
160,583
161,9
162,520
163,5
164,549
165,4
166,498
167,4
168,530
169,2
170,518
171,10
172,514
173,11
174,494
175,10
176,464
177,10
178,537
179,4
180,444
181,12
182,489
183,9
184,452
185,14
186,447
187,17
188,494
189,21
190,433
191,12
192,433
193,14
194,448
195,25
196,447
197,28
198,477
199,28
200,458
201,41
202,433
203,21
204,414
205,38
206,430
207,35
208,436
209,34
210,405
211,35
212,428
213,34
214,428
215,54
216,425
217,53
218,403
219,36
220,416
221,35
222,423
223,45
224,433
225,43
226,383
227,40
228,361
229,20
230,385
231,8
232,349
233,3
234,373
235,2
236,356
237,0
238,370
239,1
240,337
241,1
242,348
243,0
244,329
245,0
246,312
247,0
248,331
249,0
250,335
251,0
252,328
253,0
254,296
255,43393
